experiment_order,experiment_folder,experiment_name,task_count,solved_tasks,task_accuracy,specificity_score_mean,specificity_score_median,specificity_per_100_words_mean,specificity_per_100_words_median,word_count_mean,word_count_median,sentence_count_mean,sentence_count_median,avg_sentence_length_mean,avg_sentence_length_median
0,2_hypo_program,Hypothesis + Program,100,25,0.25,28.2,28.0,28.458639065460726,28.177983624183277,99.9,97.0,3.92,4.0,26.088166666666666,26.333333333333332
1,3_hint_hypo_program,Hint + Hypothesis + Program,100,38,0.38,27.81,27.0,26.831002326247,26.533166458072593,103.52,102.0,4.03,4.0,26.386690476190477,25.75
2,4_good_hypo_program,High Quality Hypothesis + Program,100,82,0.82,29.5,29.0,30.59150955658575,31.047265987025025,97.3,96.0,4.41,4.0,22.835166666666666,22.375
